2023-05-17 19:40:21.976 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:41:21.712 [ActiveMQ Session Task-3] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:41:55.201 [ActiveMQ Session Task-4] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:43:34.901 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:43:50.524 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:44:01.607 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:44:13.123 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:29.902 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:30.663 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:31.489 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:19.402 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:24.545 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:25.332 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:25.946 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:26.868 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:27.475 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:30.521 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:31.434 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:32.273 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:33.106 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:59.423 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:04.426 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:09.434 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:14.438 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:19.443 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:24.444 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:29.447 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:34.461 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:39.469 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:44.472 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:49.483 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:54.488 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:53:59.503 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:54:04.511 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:54:09.519 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:54:14.527 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:54:19.539 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:54:24.546 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:57:23.228 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Starting Demo20230327SpringbootActivemqApplication using Java 1.8.0_202 on liusuyi with PID 12764 (Y:\java\demo20230327-springboot-activemq\target\classes started by 刘苏义 in Y:\java\demo20230327-springboot-activemq)
2023-05-17 19:57:23.228 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 19:57:24.155 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
